timestamp,date,permanent_jobs,interim_jobs,total_jobs,sectors_count,locations_count,wayback_url
20201126094937,2020-11-26 09:49:37,533,73,606,14,18,https://web.archive.org/web/20201126094937/https://www.theactuaryjobs.com/jobs/#browsing
20201219102746,2020-12-19 10:27:46,542,65,607,14,17,https://web.archive.org/web/20201219102746/https://www.theactuaryjobs.com/jobs/#browsing
20210126210230,2021-01-26 21:02:30,611,71,682,14,17,https://web.archive.org/web/20210126210230/https://www.theactuaryjobs.com/jobs/#browsing
20210223124914,2021-02-23 12:49:14,631,85,716,14,17,https://web.archive.org/web/20210223124914/https://www.theactuaryjobs.com/jobs/#browsing
20210418115417,2021-04-18 11:54:17,609,66,675,14,18,https://web.archive.org/web/20210418115417/https://www.theactuaryjobs.com/jobs/#browsing
20210724015232,2021-07-24 01:52:32,650,71,721,14,18,https://web.archive.org/web/20210724015232/https://www.theactuaryjobs.com/jobs/#browsing
20211018143932,2021-10-18 14:39:32,729,60,789,14,18,https://web.archive.org/web/20211018143932/https://www.theactuaryjobs.com/jobs/#browsing
20211023113046,2021-10-23 11:30:46,754,65,819,14,18,https://web.archive.org/web/20211023113046/https://www.theactuaryjobs.com/jobs/#browsing
20220103101904,2022-01-03 10:19:04,611,60,671,14,18,https://web.archive.org/web/20220103101904/https://www.theactuaryjobs.com/jobs/#browsing
20220525101929,2022-05-25 10:19:29,836,43,879,14,18,https://web.archive.org/web/20220525101929/https://www.theactuaryjobs.com/jobs/#browsing
20220723120635,2022-07-23 12:06:35,732,50,782,14,18,https://web.archive.org/web/20220723120635/https://www.theactuaryjobs.com/jobs/#browsing
20220927211704,2022-09-27 21:17:04,782,36,818,14,18,https://web.archive.org/web/20220927211704/https://www.theactuaryjobs.com/jobs/#browsing
20230203201627,2023-02-03 20:16:27,844,60,904,14,18,https://web.archive.org/web/20230203201627/https://www.theactuaryjobs.com/jobs/#browsing
20230307203826,2023-03-07 20:38:26,825,64,889,14,18,https://web.archive.org/web/20230307203826/https://www.theactuaryjobs.com/jobs/#browsing
20230511184942,2023-05-11 18:49:42,800,47,847,14,18,https://web.archive.org/web/20230511184942/https://www.theactuaryjobs.com/jobs/#browsing
20230529191209,2023-05-29 19:12:09,728,33,761,14,18,https://web.archive.org/web/20230529191209/https://www.theactuaryjobs.com/jobs/#browsing
20230603083737,2023-06-03 08:37:37,785,43,828,14,18,https://web.archive.org/web/20230603083737/https://www.theactuaryjobs.com/jobs/#browsing
20230606175657,2023-06-06 17:56:57,745,43,788,14,18,https://web.archive.org/web/20230606175657/https://www.theactuaryjobs.com/jobs/#browsing
20230716163550,2023-07-16 16:35:50,678,40,718,14,18,https://web.archive.org/web/20230716163550/https://www.theactuaryjobs.com/jobs/#browsing
20230903234052,2023-09-03 23:40:52,618,36,654,14,18,https://web.archive.org/web/20230903234052/https://www.theactuaryjobs.com/jobs/#browsing
20240112195629,2024-01-12 19:56:29,589,32,621,14,18,https://web.archive.org/web/20240112195629/https://www.theactuaryjobs.com/jobs/#browsing
20240221220800,2024-02-21 22:08:00,724,31,755,14,18,https://web.archive.org/web/20240221220800/https://www.theactuaryjobs.com/jobs/#browsing
20240415193516,2024-04-15 19:35:16,615,19,634,14,18,https://web.archive.org/web/20240415193516/https://www.theactuaryjobs.com/jobs/#browsing
20240510003158,2024-05-10 00:31:58,613,10,623,14,18,https://web.archive.org/web/20240510003158/https://www.theactuaryjobs.com/jobs/#browsing
20240616000513,2024-06-16 00:05:13,510,17,527,14,16,https://web.archive.org/web/20240616000513/https://www.theactuaryjobs.com/jobs/#browsing
20241106185003,2024-11-06 18:50:03,549,20,569,14,18,https://web.archive.org/web/20241106185003/https://www.theactuaryjobs.com/jobs/#browsing
20250116054205,2025-01-16 05:42:05,470,12,482,14,18,https://web.archive.org/web/20250116054205/https://www.theactuaryjobs.com/jobs/#browsing
